Year,Month,Season,District,Urban_Rural,Sector,Consumption_MU,Population,Avg_Temp,Industrial_Index,Transmission_Loss_Percent,Production_Cost_Rs,Generation_Thermal,Generation_Hydro,Generation_Renewable
2004,1,Winter,Korba,Rural,Commercial,346.21,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Rural,Industrial,3251.79,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Rural,Agricultural,141.16,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Raigarh,Urban,Residential,165.85,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Urban,Commercial,855.99,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Urban,Industrial,13348.01,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Urban,Agricultural,49.48,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Rural,Residential,145.78,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Rural,Commercial,92.04,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Rural,Industrial,1271.1,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Raigarh,Rural,Agricultural,213.0,540,20.4,40.5,14.2,2.52,0.852,0.1,0.048
2004,1,Winter,Surguja,Urban,Residential,348.94,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Urban,Commercial,499.12,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Urban,Industrial,4067.74,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Urban,Agricultural,21.92,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Rural,Residential,143.13,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Rural,Commercial,202.35,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Rural,Industrial,582.71,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Surguja,Rural,Agricultural,115.69,493,21.1,12.3,15.2,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Urban,Residential,370.05,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Urban,Commercial,781.72,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Urban,Industrial,3495.74,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Urban,Agricultural,55.4,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Rural,Residential,318.62,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Rural,Commercial,155.22,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Rural,Industrial,1229.65,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Bastar,Rural,Agricultural,69.6,459,24.1,10.2,17.7,2.47,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Urban,Residential,417.3,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Urban,Commercial,229.97,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Urban,Industrial,4397.93,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Urban,Agricultural,34.61,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Rural,Residential,205.07,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Rural,Commercial,289.0,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Rural,Industrial,1811.3,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,1,Winter,Rajnandgaon,Rural,Agricultural,204.27,418,22.5,14.0,16.1,2.52,0.852,0.1,0.048
2004,2,Winter,Raipur,Urban,Residential,428.21,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Urban,Commercial,326.77,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Urban,Industrial,2104.49,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Urban,Agricultural,32.23,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Rural,Residential,194.61,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Rural,Commercial,359.8,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Rural,Industrial,1432.09,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Raipur,Rural,Agricultural,194.22,1256,22.6,17.0,12.0,2.49,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Urban,Residential,390.68,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Urban,Commercial,240.58,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Urban,Industrial,1296.36,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Urban,Agricultural,28.81,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Rural,Residential,109.08,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Rural,Commercial,178.95,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Rural,Industrial,766.4,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Bilaspur,Rural,Agricultural,64.75,781,20.4,15.2,12.1,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Urban,Residential,134.22,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Urban,Commercial,607.06,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Urban,Industrial,7091.89,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Urban,Agricultural,44.03,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Rural,Residential,171.66,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Rural,Commercial,118.78,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Rural,Industrial,2945.05,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Durg,Rural,Agricultural,205.42,676,22.4,18.1,12.9,2.46,0.851,0.102,0.047
2004,2,Winter,Korba,Urban,Residential,283.55,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Urban,Commercial,422.54,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Urban,Industrial,1234.34,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Urban,Agricultural,33.68,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Rural,Residential,78.82,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Rural,Commercial,107.79,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Rural,Industrial,6954.21,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Korba,Rural,Agricultural,101.57,628,22.9,40.0,13.2,2.54,0.851,0.102,0.047
2004,2,Winter,Raigarh,Urban,Residential,418.43,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Urban,Commercial,478.93,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Urban,Industrial,13743.84,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Urban,Agricultural,14.75,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Rural,Residential,150.04,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Rural,Commercial,275.97,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Rural,Industrial,4059.9,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Raigarh,Rural,Agricultural,152.62,531,23.6,37.2,13.4,2.53,0.851,0.102,0.047
2004,2,Winter,Surguja,Urban,Residential,452.31,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Urban,Commercial,570.65,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Urban,Industrial,1647.85,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Urban,Agricultural,36.65,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Rural,Residential,178.56,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Rural,Commercial,181.02,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Rural,Industrial,1189.71,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Surguja,Rural,Agricultural,201.43,478,22.1,12.4,16.1,2.55,0.851,0.102,0.047
2004,2,Winter,Bastar,Urban,Residential,245.81,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Urban,Commercial,516.64,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Urban,Industrial,2717.11,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Urban,Agricultural,41.14,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Rural,Residential,92.35,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Rural,Commercial,201.1,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Rural,Industrial,1843.15,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Bastar,Rural,Agricultural,64.51,446,24.7,9.6,16.3,2.54,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Urban,Residential,464.01,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Urban,Commercial,183.3,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Urban,Industrial,2987.88,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Urban,Agricultural,33.6,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Rural,Residential,263.86,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Rural,Commercial,279.09,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Rural,Industrial,833.97,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,2,Winter,Rajnandgaon,Rural,Agricultural,197.69,399,22.2,13.9,15.3,2.45,0.851,0.102,0.047
2004,3,Summer,Raipur,Urban,Residential,336.03,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Urban,Commercial,220.51,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Urban,Industrial,705.65,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Urban,Agricultural,52.61,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Rural,Residential,113.34,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Rural,Commercial,229.18,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Rural,Industrial,1914.98,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Raipur,Rural,Agricultural,132.22,1147,39.2,19.1,12.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Urban,Residential,585.73,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Urban,Commercial,374.43,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Urban,Industrial,3743.75,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Urban,Agricultural,83.95,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Rural,Residential,271.32,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Rural,Commercial,237.25,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Rural,Industrial,2959.97,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Bilaspur,Rural,Agricultural,224.03,766,38.1,15.6,14.0,2.45,0.843,0.105,0.052
2004,3,Summer,Durg,Urban,Residential,546.37,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Urban,Commercial,499.79,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Urban,Industrial,7341.37,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Urban,Agricultural,36.4,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Rural,Residential,213.59,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Rural,Commercial,230.62,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Rural,Industrial,3142.87,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Durg,Rural,Agricultural,271.89,672,38.1,17.3,12.9,2.53,0.843,0.105,0.052
2004,3,Summer,Korba,Urban,Residential,280.71,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Urban,Commercial,287.71,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Urban,Industrial,9763.66,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Urban,Agricultural,36.54,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Rural,Residential,322.95,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Rural,Commercial,346.34,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Rural,Industrial,1991.82,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Korba,Rural,Agricultural,146.47,580,36.9,43.7,13.8,2.51,0.843,0.105,0.052
2004,3,Summer,Raigarh,Urban,Residential,299.64,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Urban,Commercial,539.66,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Urban,Industrial,3616.61,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Urban,Agricultural,61.14,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Rural,Residential,302.67,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Rural,Commercial,357.92,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Rural,Industrial,5171.54,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Raigarh,Rural,Agricultural,270.73,576,36.9,42.3,14.0,2.52,0.843,0.105,0.052
2004,3,Summer,Surguja,Urban,Residential,215.69,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Urban,Commercial,904.23,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Urban,Industrial,6337.28,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Urban,Agricultural,62.32,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Rural,Residential,319.39,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Rural,Commercial,364.48,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Rural,Industrial,1576.0,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Surguja,Rural,Agricultural,71.57,505,36.9,11.9,16.2,2.49,0.843,0.105,0.052
2004,3,Summer,Bastar,Urban,Residential,511.61,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Urban,Commercial,711.2,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Urban,Industrial,5230.67,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Urban,Agricultural,68.01,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Rural,Residential,346.45,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Rural,Commercial,510.66,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Rural,Industrial,1131.1,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Bastar,Rural,Agricultural,57.54,472,38.5,9.9,16.6,2.53,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Urban,Residential,397.31,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Urban,Commercial,1030.87,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Urban,Industrial,1919.13,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Urban,Agricultural,57.62,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Rural,Residential,374.05,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Rural,Commercial,331.63,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Rural,Industrial,2902.23,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,3,Summer,Rajnandgaon,Rural,Agricultural,58.18,417,38.4,14.2,15.3,2.5,0.843,0.105,0.052
2004,4,Summer,Raipur,Urban,Residential,135.12,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Urban,Commercial,355.1,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Urban,Industrial,2261.45,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Urban,Agricultural,82.53,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Rural,Residential,261.99,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Rural,Commercial,172.8,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Rural,Industrial,3581.28,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Raipur,Rural,Agricultural,110.25,1210,38.8,16.6,12.5,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Urban,Residential,123.82,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Urban,Commercial,560.49,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Urban,Industrial,852.35,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Urban,Agricultural,62.48,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Rural,Residential,117.3,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Rural,Commercial,232.54,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Rural,Industrial,1505.54,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Bilaspur,Rural,Agricultural,100.68,836,39.3,14.2,12.3,2.54,0.853,0.099,0.048
2004,4,Summer,Durg,Urban,Residential,594.53,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Urban,Commercial,1025.41,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Urban,Industrial,2417.24,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Urban,Agricultural,40.98,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Rural,Residential,195.8,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Rural,Commercial,269.05,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Rural,Industrial,3007.42,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Durg,Rural,Agricultural,268.55,704,38.8,18.3,12.2,2.51,0.853,0.099,0.048
2004,4,Summer,Korba,Urban,Residential,304.72,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Urban,Commercial,699.06,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Urban,Industrial,21652.73,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Urban,Agricultural,44.15,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Rural,Residential,89.69,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Rural,Commercial,72.49,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Rural,Industrial,4009.95,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Korba,Rural,Agricultural,115.81,591,39.6,43.2,14.2,2.53,0.853,0.099,0.048
2004,4,Summer,Raigarh,Urban,Residential,356.02,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Urban,Commercial,475.88,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Urban,Industrial,15799.2,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Urban,Agricultural,84.43,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Rural,Residential,178.7,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Rural,Commercial,271.67,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Rural,Industrial,6233.7,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Raigarh,Rural,Agricultural,154.94,577,38.5,36.1,13.4,2.51,0.853,0.099,0.048
2004,4,Summer,Surguja,Urban,Residential,385.83,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
2004,4,Summer,Surguja,Urban,Commercial,342.43,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
2004,4,Summer,Surguja,Urban,Industrial,646.81,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
2004,4,Summer,Surguja,Urban,Agricultural,33.64,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
2004,4,Summer,Surguja,Rural,Residential,66.38,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
2004,4,Summer,Surguja,Rural,Commercial,362.61,519,37.0,11.1,16.8,2.52,0.853,0.099,0.048
